ID,Mission Date,Operation,Country,SERVICE,Unit,Mission design series aircraft,Mission Number,Time of Day,Departure,Number of Planes Attacking,Call Sign,Weapons Expendend,Weapon Type,Weapon Weight,Bomb Load,Latitude,Longitude,Target Location,Target Country,Target Type,Launching Base,Base Latitude,Base Longitude,Bomb Damage Assessment,Enemy Action,Route Details,ISR COLLECTED,Friendly Casualties,WEATHER,Altitude,Date of Record
24,1/26/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,7,,,,1356,193.7142857,45.538718,4.675828,Treves,France,Barracks & Station,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
25,2/8/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,3,,,,962,320.6666667,49.066651,6.308383,Courcelles,France,Sidings & Station,Ochey,48.58129185,5.95351696,,,,,1,,10000,6/10/2016
26,2/11/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,12,,,,2838,236.5,48.45,7.916667,Offenburg,Germany,Barracks & Station,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
27,2/15/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,5,,,,1708,341.6,49.1641817,5.872321129,Conflans,France,Sidings & Station,Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
28,2/15/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,0,,,,0,0,49.1641817,5.872321129,Conflans,France,Rail (aborted raid),Villeseneux,48.78108005,4.1631317,,,,,0,,10000,6/10/2016
29,2/17/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,0,,,,0,,49.488333,8.464722,Mannheim,Germany,BASF (aborted raid),Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
30,2/17/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,6,,,,2192,365.3333333,49.1641817,5.872321129,Conflans,France,Sidings & Station,Ochey,48.58129185,5.95351696,,,,,0,,6500,6/10/2016
31,2/17/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,0,,,,0,0,,,Unknown,Germany,Unknown (aborted raid),,,,,,,,0,,9999,6/10/2016
32,2/18/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,9,,,,2176,241.7777778,49.356794,6.167606,Thionville & Treves,France,"""Rail Sidinqs, Gas Works""",Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
33,2/18/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,10,,,,2856,285.6,45.538718,4.675828,Treves & Thionville,France,"""Rail, Steel Wrks, Barracks""",Ochey,48.58129185,5.95351696,,,,,1,,10000,6/10/2016
34,2/18/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,0,,,,0,0,,,Unknown,Germany,Unknown (aborted raid),,,,,,,,0,,9999,6/10/2016
35,2/19/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2486,226,45.538718,4.675828,Treves,France,Barracks & Rail Sin,Tantonville,48.4705028,6.150884,,,,,1,,10000,6/10/2016
36,2/19/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,0,,,,0,,49.233333,7,Saarbucken,Germany,Unknown (aborted raid),Ochey,48.58129185,5.95351696,,,,,0,,6500,6/10/2016
37,2/19/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,2,,,,2912,1456,49.356794,6.167606,Thionville,France,Rail Stn & Steel Works,Villeseneux,48.78108005,4.1631317,,,,,0,,10000,6/10/2016
38,2/20/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,8,,,,1900,237.5,49.2037161,7.6047455,Pirmasens,Germany,Rail Stn & Factories,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
39,2/26/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,9,,,,3144,349.3333333,49.115461,6.175875,Frescaty,France,Aerodrome,Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
40,2/26/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,1,,,,1344,1344,45.538718,4.675828,Treves,France,Rail Stn & Barracks,Villeseneux,48.78108005,4.1631317,,,,,0,,10000,6/10/2016
41,3/6/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,1,,,,395,395,49.115461,6.175875,Frescaty,France,Aerodrome,Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
42,3/9/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2532,230.1818182,50,8.271111,Mainz,Germany,"""Factories, Station, Bks""",Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
43,3/10/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2842,258.3636364,48.766667,9.183333,Stuttgart,Germany,"""Factories, Railways. Bks""",Tantonville,48.4705028,6.150884,,,,,1,,10000,6/10/2016
44,3/12/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,9,,,,2450,272.2222222,50.3566962,7.5996166,Coblenz,Germany,"""Factories, Station Bks""",Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
45,3/13/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,8,,,,1984,248,47.9971865,7.8537668,Freiburq,Germany,"""Munit Dump, Station, Bks""",Tantonville,48.4705028,6.150884,,,,,3,,10000,6/10/2016
46,3/16/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,7,,,,1878,268.2857143,49.25,7.366667,Zweibrucken,Germany,Railways & Barracks,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
47,3/17/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,9,,,,2585,287.2222222,49.4446997,7.7690041,Kaiserslautern,Germany,"""Factories, Stn, Sidings""",Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
48,3/18/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,9,,,,2346,260.6666667,49.488333,8.464722,Mannheim,Germany,BASF,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
49,3/23/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,12,,,,3938,328.1666667,49.115461,6.175875,Metz-Sablon,France,Railways,Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
50,3/23/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,11,,,,3088,280.7272727,49.115461,6.175875,Frescaty,France,Aerodrome,Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
51,3/23/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,1,,,,1120,1120,49.7,6.583333,Conz,Germany,"""Sidings, Stn, Bridges""",Villeseneux,48.78108005,4.1631317,,,,,0,,10000,6/10/2016
52,3/24/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,12,,,,3083,256.9166667,49.481111,8.435278,Ludwigshafen,Germany,BASF,Tantonville,48.4705028,6.150884,,,,,2,,10000,6/10/2016
53,3/24/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,14,,,,4773,340.9285714,49.115461,6.175875,Metz & Thionville,France,Metz-Luxembourg Railway,Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
54,3/24/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,3,,,,3584,1194.666667,50.9406645,6.9599115,"""Cologne, Lux, Courcelles""",Germany,"""Factory, Railway, Station""",,,,,,,,0,,10000,6/10/2016
55,3/27/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2482,225.6363636,49.115461,6.175875,Metz,France,Rail Jtn & Sidings,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
56,3/28/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,12,,,,2706,225.5,49.75,6.16666,Luxembourg,Luxembourg,Railway Station,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
57,4/5/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2464,224,49.75,6.16666,Luxembourg,Luxembourg,Railways & Station,Tantonville,48.4705028,6.150884,,,,,1,,10000,6/10/2016
58,4/11/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2464,224,49.75,6.16666,Luxembourg,Luxembourg,Railways & Station,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
59,4/12/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2464,224,49.115461,6.175875,Metz-Sablon,France,Railway Sidings & Station,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
60,4/12/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,6,,,,1344,224,49.3968459,4.38328,Juniville,Germany,Railway Sidings & Station,Villeseneux,48.78108005,4.1631317,,,,,0,,6500,6/10/2016
61,4/12/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,3,,,,4032,1344,49.517159,4.503726,"""Amagne-Lucquy, Juniville""",France,"""Jtn, Sidings, Station""",Villeseneux,48.78108005,4.1631317,,,,,0,,10000,6/10/2016
62,4/19/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,6,,,,1568,261.3333333,49.3968459,4.38328,Juniville,Germany,"""Junction, Station""",Villeseneux,48.78108005,4.1631317,,,,,0,,10000,6/10/2016
63,4/19/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,3,,,,4704,1568,49.3968459,4.38328,Juniville & Bethenville,Germany,"""Junction, Stn, Sidings""",Villeseneux,48.78108005,4.1631317,,,,,0,,10000,6/10/2016
64,4/20/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,7,,,,2128,304,49.816994,2.800635,"""Chaulnes. Roye, Ham""",France,Rail Stations & Junctions,Villeseneux,48.78108005,4.1631317,,,,,0,,6500,6/10/2016
65,4/20/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,2,,,,3136,1568,49.816994,2.800635,Chaulnes,France,Rail Station & Sidings,Villeseneux,48.78108005,4.1631317,,,,,0,,10000,6/10/2016
66,4/21/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,9,,,,2688,298.6666667,49.517159,4.503726,"""Amagne-Lucquy, Juniville""",France,,Villeseneux,48.78108005,4.1631317,,,,,0,,10000,6/10/2016
67,5/2/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2476,225.0909091,49.356794,6.167606,Thionville,France,Railways & Station,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
68,5/2/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,9,,,,2016,224,49.517159,4.503726,"""Amagne-Lucquy, Juniville""",France,,Villeseneux,48.78108005,4.1631317,,,,,0,,10000,6/10/2016
69,5/3/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,12,,,,2688,224,49.356794,6.167606,Thionville,France,"""Carlshutte Wrks, Rail, Bldg""",Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
70,5/3/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,9,,,,2016,224,49.3968459,4.38328,"""Juniville, Asfeld, Amagne""",Germany,Rail Lines & Sidings,Villeseneux,48.78108005,4.1631317,,,,,0,,6500,6/10/2016
71,5/15/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,12,,,,2688,224,49.356794,6.167606,Thionville,France,Junction & Rlwy Triangle,Tantonville,48.4705028,6.150884,,,,,0,,6500,6/10/2016
72,5/16/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,12,,,,2688,224,49.233333,7,Saarbrucken,Germany,Rail Station & Sidings,Tantonville,48.4705028,6.150884,,,,,1,,6500,6/10/2016
73,5/17/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,12,,,,2688,224,49.115461,6.175875,Metz,France,Rail Station & Sidings,Tantonville,48.4705028,6.150884,,,,,0,,6500,6/10/2016
74,5/17/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,10,,,,2240,224,49.115461,6.175875,"""Metz, Metz-Sablon, Thionville""",France,Rail Stations & Works,Ochey,48.58129185,5.95351696,,,,,1,,6500,6/10/2016
75,5/17/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,1,,,,1344,1344,49.356794,6.167606,Thionville,France,Rail Station,Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
76,5/18/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,5,,,,1392,278.4,50.9406645,6.9599115,Cologne,Germany,Rail Station & Sidings,Tantonville,48.4705028,6.150884,,,,,0,,6500,6/10/2016
77,5/20/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,10,,,,2258,225.8,49.193507,8.11288,Landau,Germany,Rail Station & Barracks,Tantonville,48.4705028,6.150884,,,,,0,,6500,6/10/2016
78,5/20/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,11,,,,2464,224,49.356794,6.167606,"""Thionville, Metz-Sablon""",France,Rail Stations,Ochey,48.58129185,5.95351696,,,,,0,,6500,6/10/2016
79,5/20/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,6,,,,7392,1232,49.356794,6.167606,"""Thionville, Metz-Sablon, Coblenz""",France,Rail Stations S Barracks,Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
80,5/21/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2464,224,50.4124306,4.4437222,"""Charleroi, Namur, Metz-Sablon""",Belgium,Railways,Tantonville,48.4705028,6.150884,,,,,1,,6500,6/10/2016
81,5/21/1918,,UK,RAF,No. 99 Sqdn,Airco DH9 Day Bomber,,,Day,6,,,,1344,224,49.115461,6.175875,Metz-Sablon,France,Rail Station & Sidings,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
82,5/21/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,15,,,,3248,216.5333333,49.233333,7,Saarbrucken. Thionville,Germany,Rail Station & Sidings,Ochey,48.58129185,5.95351696,,,,,0,,6500,6/10/2016
83,5/21/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,7,,,,9084,1297.714286,49.356794,6.167606,"""Thionville, Karthaus""",France,Rail Stations & Chemical,Ochey,48.58129185,5.95351696,,,,,1,,10000,6/10/2016
84,5/22/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2464,224,50.63042,5.60302,Kinkempois,Belgium,Rail Station,Tantonville,48.4705028,6.150884,,,,,0,,6500,6/10/2016
85,5/22/1918,,UK,RAF,No. 99 Sqdn,Airco DH9 Day Bomber,,,Day,6,,,,1344,224,49.115461,6.175875,Metz-Sablon,France,Railway Triangle,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
86,5/22/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,12,,,,3408,284,49.204987,6.6962469,"""Kreuzwald, Spittel""",Germany,"""Electrical Station, Rail""",Ochey,48.58129185,5.95351696,,,,,0,,6500,6/10/2016
87,5/22/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,5,,,,6496,1299.2,49.204987,6.6962469,"""Kreuzwald, Mannheim """,Germany,"""Elect Stn, BASF""",Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
88,5/23/1918,,UK,RAF,No. 99 Sqdn,Airco DH9 Day Bomber,,,Day,11,,,,2464,224,49.115461,6.175875,Metz-Sablon,France,Rail Stn & Triangle,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
89,5/24/1918,,UK,RAF,No. 99 Sqdn,Airco DH9 Day Bomber,,,Day,8,,,,1792,224,51.9691868,5.6653948,Hagendingen,Germany,Thyssen Blast Furnaces,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
90,5/27/1918,,UK,RAF,No. 99 Sqdn,Airco DH9 Day Bomber,,,Day,10,,,,2128,212.8,48.905388,6.759462,Bensdorf,France,Rail Station & Sidings,Tantonville,48.4705028,6.150884,,,,,1,,6500,6/10/2016
91,5/27/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,12,,,,3424,285.3333333,49.204987,6.6962469,Kreuzwald. Metz-Sablon,Germany,Elect Pwr Stn; Rail,Ochey,48.58129185,5.95351696,,,,,1,,6500,6/10/2016
92,5/27/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,5,,,,6720,1344,49.488333,8.464722,"""Mannheim, Kreuz, Landau, Courcelles""",Germany,"""BASF, Pwr Stn, Rail""",Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
93,5/28/1918,,UK,RAF,No. 99 Sqdn,Airco DH9 Day Bomber,,,Day,10,,,,2240,224,48.905388,6.759462,Bensdorf,France,,Tantonville,48.4705028,6.150884,,,,,0,,6500,6/10/2016
94,5/28/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,3,,,,864,288,49.115461,6.175875,Metz-Sablons,France,Rail Stn,Ochey,48.58129185,5.95351696,,,,,1,,6500,6/10/2016
95,5/29/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2464,224,49.356794,6.167606,Thionville,France,Railways,Tantonville,48.4705028,6.150884,,,,,0,,6500,6/10/2016
96,5/29/1918,,UK,RAF,No. 99 Sqdn,Airco DH9 Day Bomber,,,Day,6,,,,1344,224,49.115461,6.175875,Metz-Sablon,France,Railway Triangle,Tantonville,48.4705028,6.150884,,,,,0,,6500,6/10/2016
97,5/30/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,12,,,,2688,224,49.356794,6.167606,Thionville,France,Railways,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
98,5/30/1918,,UK,RAF,No. 99 Sqdn,Airco DH9 Day Bomber,,,Day,4,,,,896,224,49.115461,6.175875,Metz-Sablon,France,Railways,Tantonville,48.4705028,6.150884,,,,,0,,6500,6/10/2016
99,5/30/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,6,,,,1728,288,49.115461,6.175875,Metz-Sablon,France,Rail Station,Ochey,48.58129185,5.95351696,,,,,0,,6500,6/10/2016
100,5/30/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,7,,,,8552,1221.714286,,,,,Rail Stations & Sidings,Ochey,48.58129185,5.95351696,,,,,0,,9999,6/10/2016
101,5/31/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2464,224,49.0080848,8.4037563,Karlsruhe,Germany,Rail Station & Workshops,Tantonville,48.4705028,6.150884,,,,,1,,10000,6/10/2016
102,5/31/1918,,UK,RAF,No. 99 Sqdn,Airco DH9 Day Bomber,,,Day,11,,,,2240,203.6363636,49.115461,6.175875,Metz-Sablon,France,Railway Triangle,Tantonville,48.4705028,6.150884,,,,,0,,6500,6/10/2016
103,5/31/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,15,,,,3296,219.7333333,49.356794,6.167606,Thionville & Metz,France,Rail Station & Junction,Ochey,48.58129185,5.95351696,,,,,0,,6500,6/10/2016
104,5/31/1918,,UK,RAF,No. 216 Sqdn,Hadley Page O/100,,,Night,4,,,,5600,1400,49.7022517,6.58261299,,,Rail Station & Triangle,Ochey,48.58129185,5.95351696,,,,,0,,10000,6/10/2016
105,6/1/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,11,,,,2240,203.6363636,49.7022517,6.58261299,Karthaus,Italy,Railway Stn,Tantonville,48.4705028,6.150884,,,,,1,,10000,6/10/2016
106,6/1/1918,,UK,RAF,No. 99 Sqdn,Airco DH9 Day Bomber,,,Day,6,,,,5344,890.6666667,49.115461,6.175875,Metz-Sablon,France,Rail,Tantonville,48.4705028,6.150884,,,,,0,,6500,6/10/2016
107,6/2/1918,,UK,RAF,No. 99 Sqdn,Airco DH9 Day Bomber,,,Day,10,,,,2240,224,49.115461,6.175875,Metz-Sablon,France,Rail,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
108,6/3/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,7,,,,1568,224,49.75,6.16666,Luxembourg,Luxembourg,Railways,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
109,6/3/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,2,,,,454,227,49.115461,6.175875,Metz,France,Railways,Ochey,48.58129185,5.95351696,,,,,0,,6500,6/10/2016
110,6/4/1918,,UK,RAF,No. 55 Sqdn,Airco DH4 Day Bomber,,,Day,12,,,,2694,224.5,45.538718,4.675828,Treves & Conz,France,Railways & Barracks,Tantonville,48.4705028,6.150884,,,,,0,,10000,6/10/2016
111,6/4/1918,,UK,RAF,No. 99 Sqdn,Airco DH9 Day Bomber,,,Day,10,,,,2240,224,49.115461,6.175875,Metz-Sablon,France,Triangle of Railways,Tantonville,48.4705028,6.150884,,,,,0,,6500,6/10/2016
112,6/5/1918,,UK,RAF,No. 100 Sqdn,FE2b,,,Night,7,,,,1649,235.5714286,49.115461,6.175875,Metz-Sablon,France,Railways,Ochey,48.58129185,5.95351696,,,,,0,,8700,6/10/2016
